model	orthogroup	scc	count
agront	3I2V8	0.045198567286789185	44.0
agront	3I2V9	0.1135009573037495	52.0
agront	3I2VA	0.5425896248940595	26.0
agront	3I2VB	0.10361691352120371	26.0
agront	3I2VC	-0.3374402873620935	26.0
agront	3I2VE	0.18193042507802556	114.0
agront	3I2VF	0.4106910393245407	52.0
agront	3I2VG	-0.019873271834513605	26.0
agront	3I2VI	0.3468159021391044	26.0
agront	3I2VJ	0.7059359400629243	41.0
agront	3I2VK	0.16797078670281027	27.0
agront	3I2VM	0.2400477530361879	26.0
agront	3I2VN	0.5147842028727787	43.0
agront	3I2VP	-0.07120864311703433	25.0
agront	3I2VR	0.5108258457953614	37.0
agront	3I2VS	-0.02774452602695108	26.0
agront	3I2VT	0.28309377404198677	28.0
agront	3I2VU	0.3956936619239187	28.0
agront	3I2VV	0.15360520435788108	26.0
agront	3I2VW	0.5677448531327453	84.0
agront	3I2VX	0.06355028639608339	27.0
agront	3I2VY	0.22061109698024836	33.0
agront	3I2VZ	0.6394133273843425	173.0
agront	3I2W0	0.6305314195535988	38.0
agront	3I2W1	-0.4705681315953407	26.0
agront	3I2W2	0.7427954107781194	44.0
agront	3I2W3	0.8642847536402233	110.0
agront	3I2W4	-0.5172890848154217	26.0
agront	3I2W5	0.14151140116645033	26.0
agront	3I2W6	0.5052006517999278	58.0
agront	3I2W7	0.21445316932572603	53.0
agront	3I2W8	0.7678141339808974	54.0
agront	3I2W9	0.07660272095082374	61.0
agront	3I2WA	-0.15902167441877774	27.0
agront	3I2WC	-0.07085051896218723	27.0
agront	3I2WD	0.18956232854394803	26.0
agront	3I2WE	0.08351434164251242	70.0
agront	3I2WF	0.41057207855642774	31.0
agront	3I2WG	0.0030827251141056747	26.0
agront	3I2WH	-0.7665174575784038	51.0
agront	3I2WI	-0.2817038211369275	41.0
agront	3I2WJ	0.26896373342957675	26.0
agront	3I2WK	-0.16529185067442845	27.0
agront	3I2WM	0.4210462201015715	28.0
agront	3I2WN	0.2821887520371718	26.0
agront	3I2WP	0.1547947474826142	26.0
agront	3I2WQ	0.04082422349398449	25.0
agront	3I2WR	0.6060514649582638	31.0
agront	3I2WS	0.7555775577440615	63.0
agront	3I2WT	0.4016902780827086	52.0
agront	3I2WU	0.4435252049493908	53.0
agront	3I2WV	0.21369342807732666	64.0
