species	context	model	ap	color	alpha	baseline
oryza_sativa	c1000	pcv2-l48-d1536	0.4536475839021855	C0	1.0	0.06537771686136419
oryza_sativa	c1000	agront	0.48014663357302567	gray	1.0	0.06537771686136419
oryza_sativa	c1000	sup_pcv2-l24-d0768	0.20542826872105813	C1	1.0	0.06537771686136419
oryza_sativa	c1000	cnn-lstm	0.22717696527380166	C1	0.5	0.06537771686136419
setaria_viridis	c300	pcv2-l24-d0768	0.23596961073661354	C0	0.4	0.01950454435775758
setaria_viridis	c300	pcv2-l48-d1024	0.30780308455627914	C0	0.7	0.01950454435775758
setaria_viridis	c300	pcv2-l48-d1536	0.24148937888737468	C0	1.0	0.01950454435775758
setaria_viridis	c300	agront	0.18508297796757917	gray	1.0	0.01950454435775758
setaria_viridis	c300	sup_pcv2-l24-d0768	0.05037425942580998	C1	1.0	0.01950454435775758
setaria_viridis	c300	cnn-lstm	0.042666128850102916	C1	0.5	0.01950454435775758
setaria_viridis	c600	pcv2-l24-d0768	0.5106961668786847	C0	0.4	0.039089696255158075
setaria_viridis	c600	pcv2-l48-d1024	0.5524444358411444	C0	0.7	0.039089696255158075
setaria_viridis	c600	pcv2-l48-d1536	0.5379018696779977	C0	1.0	0.039089696255158075
setaria_viridis	c600	agront	0.4703243445182622	gray	1.0	0.039089696255158075
setaria_viridis	c600	sup_pcv2-l24-d0768	0.11349077320957092	C1	1.0	0.039089696255158075
setaria_viridis	c600	cnn-lstm	0.10998009412853195	C1	0.5	0.039089696255158075
setaria_viridis	c1000	pcv2-l24-d0768	0.6543143302233576	C0	0.4	0.06544080552131605
setaria_viridis	c1000	pcv2-l48-d1024	0.6666147340304609	C0	0.7	0.06544080552131605
setaria_viridis	c1000	pcv2-l48-d1536	0.563842558864993	C0	1.0	0.06544080552131605
setaria_viridis	c1000	agront	0.6244132051162835	gray	1.0	0.06544080552131605
setaria_viridis	c1000	sup_pcv2-l24-d0768	0.1400496887362926	C1	1.0	0.06544080552131605
setaria_viridis	c1000	cnn-lstm	0.2069939075852905	C1	0.5	0.06544080552131605
sorghum_bicolor	c300	pcv2-l24-d0768	0.1187568249662712	C0	0.4	0.008893114711791618
sorghum_bicolor	c300	pcv2-l48-d1024	0.19362510626523116	C0	0.7	0.008893114711791618
sorghum_bicolor	c300	pcv2-l48-d1536	0.13629612406836555	C0	1.0	0.008893114711791618
sorghum_bicolor	c300	agront	0.0818350354284923	gray	1.0	0.008893114711791618
sorghum_bicolor	c300	sup_pcv2-l24-d0768	0.01837276507474627	C1	1.0	0.008893114711791618
sorghum_bicolor	c300	cnn-lstm	0.0163735670172325	C1	0.5	0.008893114711791618
sorghum_bicolor	c600	pcv2-l24-d0768	0.4086308201947825	C0	0.4	0.017806521519423565
sorghum_bicolor	c600	pcv2-l48-d1024	0.4438247274058862	C0	0.7	0.017806521519423565
sorghum_bicolor	c600	pcv2-l48-d1536	0.4015007012005427	C0	1.0	0.017806521519423565
sorghum_bicolor	c600	agront	0.29637072934189534	gray	1.0	0.017806521519423565
sorghum_bicolor	c600	sup_pcv2-l24-d0768	0.051576000390776	C1	1.0	0.017806521519423565
sorghum_bicolor	c600	cnn-lstm	0.055033357851812084	C1	0.5	0.017806521519423565
sorghum_bicolor	c1000	pcv2-l24-d0768	0.5431739892295894	C0	0.4	0.02972783634183689
sorghum_bicolor	c1000	pcv2-l48-d1024	0.5741968307170713	C0	0.7	0.02972783634183689
sorghum_bicolor	c1000	pcv2-l48-d1536	0.4557338552403053	C0	1.0	0.02972783634183689
sorghum_bicolor	c1000	agront	0.4361991865665238	gray	1.0	0.02972783634183689
sorghum_bicolor	c1000	sup_pcv2-l24-d0768	0.0704150406520609	C1	1.0	0.02972783634183689
sorghum_bicolor	c1000	cnn-lstm	0.10734568835422355	C1	0.5	0.02972783634183689
zea_mays	c300	pcv2-l24-d0768	0.04091960365370296	C0	0.4	0.004585982332693328
zea_mays	c300	pcv2-l48-d1024	0.09453656679489468	C0	0.7	0.004585982332693328
zea_mays	c300	pcv2-l48-d1536	0.011401264036255736	C0	1.0	0.004585982332693328
zea_mays	c300	agront	0.04787745254004064	gray	1.0	0.004585982332693328
zea_mays	c300	sup_pcv2-l24-d0768	0.007300305665846655	C1	1.0	0.004585982332693328
zea_mays	c300	cnn-lstm	0.007988950460294466	C1	0.5	0.004585982332693328
zea_mays	c600	pcv2-l24-d0768	0.23109724905569806	C0	0.4	0.00917100240059074
zea_mays	c600	pcv2-l48-d1024	0.3424370575873629	C0	0.7	0.00917100240059074
zea_mays	c600	pcv2-l48-d1536	0.18221516017833223	C0	1.0	0.00917100240059074
zea_mays	c600	agront	0.22023130892311196	gray	1.0	0.00917100240059074
zea_mays	c600	sup_pcv2-l24-d0768	0.02237264196249506	C1	1.0	0.00917100240059074
zea_mays	c600	cnn-lstm	0.023135876271614123	C1	0.5	0.00917100240059074
zea_mays	c1000	pcv2-l24-d0768	0.43212872732281943	C0	0.4	0.015289684022621852
zea_mays	c1000	pcv2-l48-d1024	0.5705683858524192	C0	0.7	0.015289684022621852
zea_mays	c1000	pcv2-l48-d1536	0.37759772520822354	C0	1.0	0.015289684022621852
zea_mays	c1000	agront	0.4000639408816139	gray	1.0	0.015289684022621852
zea_mays	c1000	sup_pcv2-l24-d0768	0.031460147807461855	C1	1.0	0.015289684022621852
zea_mays	c1000	cnn-lstm	0.04350487540071385	C1	0.5	0.015289684022621852
